0;0;N;
0;100;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1419;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1419;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1419;N;
0;1420;N;
0;1420;N;
0;1419;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1420;N;
0;1419;N;
0;1420;N;
0;1420;1;
0;1420;1;
0;1420;1;
0;1420;1;
0;1420;1;
0;1419;1;
0;1484;1;
0;1733;1;
0;1875;1;
0;2283;1;
0;2566;1;
